"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 11 22:30:46 MSK 2023","Wed Jan 11 22:30:47 MSK 2023","958","","tests.user.ChangeUserDataTest","","tests.user.ChangeUserDataTest","changeUserEmailWithoutAuthorizationTest","Изменение E-mail пользователя без авторизации.","Изменение E-mail пользователя без авторизации. Проверка неуспешного ответа сервера."
"passed","Wed Jan 11 22:30:59 MSK 2023","Wed Jan 11 22:31:00 MSK 2023","1009","","tests.user.LoginUserTest","","tests.user.LoginUserTest","authorizationWithoutPasswordTest","Авторизация пользователя без пароля.","Авторизация пользователя без пароля. Проверка неуспешного ответа сервера."
"passed","Wed Jan 11 22:30:30 MSK 2023","Wed Jan 11 22:30:31 MSK 2023","1024","","tests.order.CreateOrderTest","","tests.order.CreateOrderTest","createNullOrderWithoutAuthorization","Создание заказа без ингредиентов и без авторизации","Создание заказа без ингредиентов и без авторизации. Проверка неуспешного ответа от сервера."
"passed","Wed Jan 11 22:30:51 MSK 2023","Wed Jan 11 22:30:52 MSK 2023","703","","tests.user.CreateUserTest","","tests.user.CreateUserTest","createUserTest","Регистрация уникального пользователя.","Регистрация уникального пользователя со случайным набором данных. Проверка успешного ответа сервера."
"passed","Wed Jan 11 22:30:28 MSK 2023","Wed Jan 11 22:30:30 MSK 2023","1387","","tests.order.CreateOrderTest","","tests.order.CreateOrderTest","createOrderWithoutAuthorizationWithWrongHashTest","Создание заказа без авторизации с неверным хэшем ингредиентов.","Создание заказа без авторизации с неверным хэшем ингредиентов. Проверка ошибки сервера."
"passed","Wed Jan 11 22:30:36 MSK 2023","Wed Jan 11 22:30:37 MSK 2023","1095","","tests.user.ChangeUserDataTest","","tests.user.ChangeUserDataTest","changeAllUserFieldsWithAuthorizationTest","Изменение всех данных пользователя с авторизацией.","Изменение всех данных пользователя с авторизацией. Проверка успешного ответа сервера."
"passed","Wed Jan 11 22:30:32 MSK 2023","Wed Jan 11 22:30:33 MSK 2023","1123","","tests.order.GetUserOrderTest","","tests.order.GetUserOrderTest","getUserOrderWithoutAuthorizationTest","Получение списка заказов без авторизации.","Получение списка заказов без авторизации. Проверка неуспешного ответа от сервера."
"passed","Wed Jan 11 22:30:56 MSK 2023","Wed Jan 11 22:30:57 MSK 2023","1040","","tests.user.LoginUserTest","","tests.user.LoginUserTest","authorizationWithWrongEmailTest","Авторизация пользователя с неверным E-mail(ом).","Авторизация пользователя с невалидными E-mail(ом) и с валидными случайными паролем и именем. Проверка неуспешного ответа сервера."
"passed","Wed Jan 11 22:30:18 MSK 2023","Wed Jan 11 22:30:23 MSK 2023","5745","","tests.order.CreateOrderTest","","tests.order.CreateOrderTest","createOrderWithAuthorizationWithWrongHashTest","Создание заказа с авторизацией с неверным хешем ингредиентов.","Создание заказа с авторизацией с неверным хешем ингредиентов. Проверка ошибки сервера."
"passed","Wed Jan 11 22:30:25 MSK 2023","Wed Jan 11 22:30:26 MSK 2023","1110","","tests.order.CreateOrderTest","","tests.order.CreateOrderTest","createNullOrderWithAuthorization","Создание заказа без ингредиентов с авторизацией.","Создание заказа без ингредиентов с авторизацией. Проверка неуспешного ответа от сервера."
